"Player Name,Team Name,Batting Hand,Bowling Hand,Bowling Type,Nationality"
"Sanvir Singh,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian"
"Shahbaz Ahmed,Sunrisers Hyderabad Squad,Left,Left,Finger Spinners,Indian"
"Washington Sundar,Sunrisers Hyderabad Squad,Left,Right,Finger Spinners,Indian"
"Pat Cummins,Sunrisers Hyderabad Squad,Right,Right,Pacer,International"
"Akash Singh,Sunrisers Hyderabad Squad,Right,Left,Pacer,Indian"
"Fazalhaq Farooqi,Sunrisers Hyderabad Squad,Right,Left,Pacer,International"
"Bhuvneshwar Kumar,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian"
"Mayank Markande,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,Indian"
"T Natarajan,Sunrisers Hyderabad Squad,Left,Left,Pacer,Indian"
"Jhathavedh Subramanyan,Sunrisers Hyderabad Squad,Right,Right,Wrist Spinners,International"
"Umran Malik,Sunrisers Hyderabad Squad,Right,Right,Pacer,Indian"
"Jaydev Unadkat,Sunrisers Hyderabad Squad,Right,Left,Pacer,Indian"
